,formula,xc,encut,ispin,ivdw,concentration,potential_energy,ZPE_correction,temperature,Cp,enthalpy_calculated,enthalpy_experimental,pressure,entropy,free_energy
118,CO,PW91,520,1,0,1.0,-14.86348942,0.131790778,298.15,0.08993323227951772,-14.641765409720483,-1.144812342975661,100000.0,0.002050150663901761,-15.253017830162793
119,HCOOH,PW91,520,1,0,1.0,-30.376846,0.884580515,298.15,0.11304497264831037,-29.37922051235169,-3.9244514030036863,5714.155064883787,0.002828242473427361,-30.222461005804057
120,CH3OH,PW91,520,1,0,1.0,-30.5859722,1.348521496,298.15,0.11890022733732053,-29.11855047666268,-2.0814769872284744,16938.450392599163,0.0026401265005546832,-29.905704192803057
121,CH4,PW91,520,1,0,1.0,-24.15245967,1.1799976275000001,298.15,0.10403197130024511,-22.868430071199754,-0.7762174598206185,100000.0,0.0019319117068240038,-23.44442954658933
122,C2H4,PW91,520,1,0,1.0,-32.15948977,1.3534264125,298.15,0.10896341917164354,-30.697099938328357,0.5420512987574153,100000.0,0.0022730849724418873,-31.374820222861906
123,C2H6,PW91,520,1,0,1.0,-40.67405169,1.9694100335000002,298.15,0.12151057126577736,-38.58313108523422,-0.8716184884019238,100000.0,0.0023657000473453747,-39.28846455435024
124,CH2O,PW91,520,1,0,1.0,-22.42761379,0.706320195,298.15,0.10388614536708118,-21.617407449632918,,100000.0,0.0022693952615936816,-22.294027646877073
125,N2,PW91,520,1,0,1.0,-16.7128945,0.1493310075,298.15,0.08992666786424658,-16.473636824635754,0.0,100000.0,0.0019871857506399025,-17.06611625618904
126,NH3,PW91,520,1,0,1.0,-19.83713556,0.9068767600000001,298.15,0.10383386880003376,-18.826424931199966,-0.47700514290652546,100000.0,0.001996870055093604,-19.421791738126124
127,H2O,PW91,520,2,0,0.0,-14.28310009,0.5686583835,298.15,0.1028632127738075,-13.611578493726192,-2.506445205454288,3166.74874006291,0.0022564891754400197,-14.284350741383633
128,H2,PW91,520,2,0,0.0,-6.80172909,0.26948900400000003,298.15,0.08992399681923263,-6.442316089180768,0.0,100000.0,0.0013525408959011282,-6.845576157293689
129,O2,PW91,520,2,0,0.0,-9.79576884,0.0966979005,298.15,0.09002813555024029,-9.609042803949759,0.0,100000.0,0.0021293543198356536,-10.24390979440876
130,H2O2,PW91,520,2,0,0.0,-18.24945318,0.6952796205,298.15,0.11612403927231352,-17.438049520227686,-1.4093333767692797,100000.0,0.002377518920749609,-18.146906786449183
131,CO2,PW91,520,2,0,0.0,-23.00515398,0.30636415149999996,298.15,0.0979855350579606,-22.60080429344204,-4.080562177045822,100000.0,0.002222104571879284,-23.263324771547847
132,CO,PW91,520,2,0,0.0,-14.81915931,0.132096135,298.15,0.0899330362200435,-14.597130138779956,-1.144812342975661,100000.0,0.002050206980172047,-15.208399349918253
133,HCOOH,PW91,520,2,0,0.0,-29.98004058,0.8878537895,298.15,0.11293809738718186,-28.97924869311282,-3.9244514030036863,5714.155064883787,0.002827771806143703,-29.822348857114562
134,CH3OH,PW91,520,2,0,0.0,-30.33715069,1.3564908605000001,298.15,0.11782146800697202,-28.86283836149303,-2.0814769872284744,16938.450392599163,0.00263198136489102,-29.647563605435288
135,CH4,PW91,520,2,0,0.0,-24.12797502,1.1865410065000002,298.15,0.10396511748117421,-22.837468896018827,-0.7762174598206185,100000.0,0.0019315275590103265,-23.413353837737755
136,C2H4,PW91,520,2,0,0.0,-32.08870787,1.3540096335,298.15,0.10912003500662104,-30.62557820149338,0.5420512987574153,100000.0,0.002273435076064675,-31.30340286942206
137,C2H6,PW91,520,2,0,0.0,-40.64694536,1.9780973194999998,298.15,0.12138760556575967,-38.54746043493424,-0.8716184884019238,100000.0,0.0023650372456324523,-39.252596289719556
138,CH2O,PW91,520,2,0,0.0,-22.21395222,0.7002733605,298.15,0.1039283126555961,-21.409750546844403,,100000.0,0.0022690173923648445,-22.08625808237798
139,N2,PW91,520,2,0,0.0,-16.68547572,0.14920453,298.15,0.08992669201113879,-16.44634449798886,0.0,100000.0,0.001987277273745102,-17.038851217155962
140,NH3,PW91,520,2,0,0.0,-19.61446277,0.9122506425000001,298.15,0.10390190477750672,-18.598310222722493,-0.47700514290652546,100000.0,0.001996885082195982,-19.19368150997922
141,H2O,PW91,520,2,0,0.1,-14.63154102,0.5609414765,298.15,0.10289191437605893,-13.967707629123941,-2.506445205454288,3166.74874006291,0.002257072583080801,-14.640653819769483
142,H2,PW91,520,2,0,0.1,-6.81839033,0.26830192399999997,298.15,0.0899239968576604,-6.460164409142339,0.0,100000.0,0.001352827002951075,-6.863509780072202
143,O2,PW91,520,2,0,0.1,-9.80701731,0.096647858,298.15,0.09002848812962658,-9.620340963870374,0.0,100000.0,0.002129244131164697,-10.255175101577128
144,H2O2,PW91,520,2,0,0.1,-18.67087768,0.6899759775000001,298.15,0.11740379557689229,-17.863497906923108,-1.4093333767692797,100000.0,0.0023870294773596645,-18.57519074559789
145,CO2,PW91,520,2,0,0.1,-23.16107237,0.3028723405,298.15,0.09825642972322379,-22.759943599776776,-4.080562177045822,100000.0,0.0022232825828093932,-23.422815301841396
146,CO,PW91,520,2,0,0.1,-14.8634242,0.13181015350000003,298.15,0.08993321971523827,-14.641680826784762,-1.144812342975661,100000.0,0.0020501506553588264,-15.252933244679996
147,HCOOH,PW91,520,2,0,0.1,-30.37624419,0.884399378,298.15,0.11310719703621552,-29.378737614963786,-3.9244514030036863,5714.155064883787,0.0028285304913888273,-30.222063980971363
148,CH3OH,PW91,520,2,0,0.1,-30.58549613,1.3500933720000001,298.15,0.11845162586594049,-29.11695113213406,-2.0814769872284744,16938.450392599163,0.0026367256148077285,-29.903090874188983
149,CH4,PW91,520,2,0,0.1,-24.15239481,1.1794309465000001,298.15,0.10404123749814254,-22.868922626001858,-0.7762174598206185,100000.0,0.001932017267115142,-23.444953574192233
150,C2H4,PW91,520,2,0,0.1,-32.15937444,1.3498299640000002,298.15,0.10910670727522498,-30.700437768724775,0.5420512987574153,100000.0,0.002273711451511175,-31.37834483799283
151,C2H6,PW91,520,2,0,0.1,-40.67400619,1.9708660634999997,298.15,0.12153073454404262,-38.58160939195596,-0.8716184884019238,100000.0,0.002365879310096599,-39.28699630826126
152,CH2O,PW91,520,2,0,0.1,-22.4271565,0.7058095934999999,298.15,0.10389645676070791,-21.61745044973929,,100000.0,0.002269418827048077,-22.294077673023676
153,N2,PW91,520,2,0,0.1,-16.71284018,0.14945921250000002,298.15,0.08992664360635597,-16.473454323893645,0.0,100000.0,0.0019871864188853667,-17.065933954684315
